w,acc_uni,acc_nonuni
3,0.9822840015888217,0.9821680009365081
4,0.983072000384331,0.9830640020370487
5,0.9763280019760133,0.9765680021047591
6,0.9742880036830904,0.9749040039777753
7,0.9713400019407269,0.9726480026245115
8,0.9684600019454954,0.9705760017633434
9,0.9669400018453593,0.9697560009956356
10,0.9643680001497266,0.9670640010833738
11,0.9634760015010831,0.9666280013322828
12,0.9603319998979567,0.9641600012779232
13,0.9596439992189405,0.9633000000715255
14,0.9551599957942962,0.960272000312805
15,0.9531599977016448,0.9598399991989133
16,0.9514639978408812,0.958399997472763
17,0.9479199957847595,0.9569999972581862
18,0.9427799963951111,0.9533439973592758
19,0.9402879985570906,0.9511959975957872
20,0.9364839982986448,0.9496119968891141
